OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
155,154,30194,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,True,True,False,False,False,False,False,False,False,False,"(41.853206, -87.630968)",41.853206000000000,-87.630967999999996,Cermak-Chinatown,41000,1456259,444746,0.694596908928975,1011513
156,155,30025,S,51st (63rd-bound),51st,51st (Green Line),40130,True,False,False,True,False,False,False,False,False,False,"(41.80209, -87.618487)",41.802090000000000,-87.618487000000002,51st,40130,288107,131619,0.543159312338819,156488
157,156,30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,False,True,False,False,False,False,False,False,False,False,"(41.977984, -87.658668)",41.977983999999999,-87.658668000000006,Berwyn,40340,1013553,406530,0.598906026621203,607023
158,157,30145,N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",41.982270000000000,-87.808899999999994,Harlem-O'Hare,40750,844876,313154,0.629349158929831,531722
159,158,30012,N,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),40060,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",41.938132000000003,-87.712359000000006,Belmont-O'Hare,40060,1460132,578140,0.604049496894801,881992
160,159,30199,E,Polk (Loop-bound),Polk,Polk (Pink Line),41030,True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",41.871550999999997,-87.669529999999995,Polk,41030,869191,373443,0.570355652555077,495748
161,160,30049,W,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),40250,True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341000000001,-87.706040000000002,Kedzie-Homan-Forest Park,40250,581826,288462,0.504212599643192,293364
162,161,30121,N,Clark/Division (Howard-bound),Clark/Division,Clark/Division (Red Line),40630,True,True,False,False,False,False,False,False,False,False,"(41.90392, -87.631412)",41.903919999999999,-87.631411999999997,Clark/Division,40630,2452981,836745,0.658886473233996,1616236
163,162,30059,S,Indiana (63rd-bound),Indiana,Indiana (Green Line),40300,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",41.821731999999997,-87.621370999999996,Indiana,40300,231963,99395,0.571504938287572,132568
164,163,30117,E,Kostner (Loop-bound),Kostner,Kostner (Pink Line),40600,True,False,False,False,False,False,False,False,True,False,"(41.853751, -87.733258)",41.853751000000003,-87.733258000000006,Kostner,40600,144034,69864,0.514947859533166,74170
